Run,GraphType,Vertices,Edges,RequestedDensity,ActualDensity,Seed,SourceVertex,MinDist,MaxDist,AvgDist,UnreachableVertices,NegativeCycle,TimeMs
1,AdjacencyList,10,6,0.2500,0.1333,124414905,V9,105,1027,547.3750,1,false,0.0345
2,AdjacencyList,10,5,0.2500,0.1111,2779523366,V9,241,3110,2057.5556,0,false,0.0300
3,AdjacencyList,10,5,0.2500,0.1111,1139792631,V9,347,2604,1566.3333,0,false,0.0306
4,AdjacencyList,10,7,0.2500,0.1556,3794989792,V9,38,872,317.6667,0,false,0.0302
5,AdjacencyList,10,5,0.2500,0.1111,2155275757,V9,273,1684,870.2222,0,false,0.0192
6,AdjacencyList,10,6,0.2500,0.1333,515456222,V9,287,1253,781.2222,0,false,0.0238
7,AdjacencyList,10,4,0.2500,0.0889,3170588583,V9,N/A,N/A,N/A,9,false,0.0114
8,AdjacencyList,10,5,0.2500,0.1111,1530672348,V9,N/A,N/A,N/A,9,false,0.0126
9,AdjacencyList,10,4,0.2500,0.0889,4185725009,V9,400,1891,1238.8333,3,false,0.0194
10,AdjacencyList,10,6,0.2500,0.1333,2545819174,V9,836,2499,1881.7500,1,false,0.0251
11,AdjacencyList,10,5,0.2500,0.1111,905968139,V9,N/A,N/A,N/A,9,false,0.0119
12,AdjacencyList,10,7,0.2500,0.1556,3561011700,V9,748,2745,1930.0000,0,false,0.0391
13,AdjacencyList,10,7,0.2500,0.1556,1921274965,V9,405,1244,772.3333,0,false,0.0282
14,AdjacencyList,10,4,0.2500,0.0889,281447230,V9,N/A,N/A,N/A,9,false,0.0133
15,AdjacencyList,10,6,0.2500,0.1333,2936749691,V9,216,1707,818.7143,2,false,0.0267
16,AdjacencyList,10,6,0.2500,0.1333,1296904456,V9,184,1787,968.3333,0,false,0.0288
17,AdjacencyList,10,9,0.2500,0.2000,3951973517,V9,786,1853,1129.3333,0,false,0.0374
18,AdjacencyList,10,5,0.2500,0.1111,2312102782,V9,592,2348,1373.0000,0,false,0.0225
19,AdjacencyList,10,8,0.2500,0.1778,672187547,V9,58,856,434.6667,0,false,0.0291
20,AdjacencyList,10,7,0.2500,0.1556,3327258408,V9,193,1305,582.6667,0,false,0.0253
21,AdjacencyList,10,6,0.2500,0.1333,1687364573,V9,448,2533,1377.0000,0,false,0.0247
22,AdjacencyList,10,7,0.2500,0.1556,47464138,V9,202,1733,740.4444,0,false,0.0308
23,AdjacencyList,10,5,0.2500,0.1111,2702753099,V9,649,1742,1147.5556,0,false,0.0237
24,AdjacencyList,10,6,0.2500,0.1333,1062921764,V9,249,1425,759.3750,1,false,0.0268
25,AdjacencyList,10,7,0.2500,0.1556,3718167825,V9,103,671,363.5714,2,false,0.0283
26,AdjacencyList,10,7,0.2500,0.1556,2078351190,V9,178,1274,527.6667,0,false,0.0276
27,AdjacencyList,10,4,0.2500,0.0889,438464555,V9,442,1803,1086.8889,0,false,0.0197
28,AdjacencyList,10,7,0.2500,0.1556,3093518216,V9,57,1149,520.7500,1,false,0.0281
29,AdjacencyList,10,6,0.2500,0.1333,1453619081,V9,116,1009,607.1429,2,false,0.0207
30,AdjacencyList,10,7,0.2500,0.1556,4108676942,V9,179,2045,1033.7778,0,false,0.0270
31,AdjacencyList,10,4,0.2500,0.0889,2468809807,V9,449,1353,957.5000,1,false,0.0211
32,AdjacencyList,10,6,0.2500,0.1333,828898472,V9,398,1601,1108.5000,1,false,0.0230
33,AdjacencyList,10,4,0.2500,0.0889,3484215733,V9,136,1178,590.8571,2,false,0.0201
34,AdjacencyList,10,5,0.2500,0.1111,1844574398,V9,1,1057,532.0000,1,false,0.0271
35,AdjacencyList,10,7,0.2500,0.1556,204859263,V9,339,1948,1153.1111,0,false,0.0274
36,AdjacencyList,10,7,0.2500,0.1556,2860074524,V9,199,1020,516.8889,0,false,0.0310
37,AdjacencyList,10,3,0.2500,0.0667,1220222789,V9,145,2134,1092.8571,2,false,0.0164
38,AdjacencyList,10,5,0.2500,0.1111,3875289850,V9,88,1731,585.2222,0,false,0.0218
39,AdjacencyList,10,6,0.2500,0.1333,2235544915,V9,3,1179,701.1250,1,false,0.0271
40,AdjacencyList,10,6,0.2500,0.1333,595766380,V9,946,3094,2126.7778,0,false,0.0247
41,AdjacencyList,10,5,0.2500,0.1111,3250831441,V9,327,1406,753.6250,1,false,0.0186
42,AdjacencyList,10,7,0.2500,0.1556,1610959006,V9,549,1943,1124.5556,0,false,0.0284
43,AdjacencyList,10,7,0.2500,0.1556,4266189567,V9,504,1364,884.5556,0,false,0.0310
44,AdjacencyList,10,7,0.2500,0.1556,2626421332,V9,177,1817,1113.8889,0,false,0.0317
45,AdjacencyList,10,4,0.2500,0.0889,986644797,V9,40,1877,1167.8571,2,false,0.0175
46,AdjacencyList,10,9,0.2500,0.2000,3641777258,V9,63,1425,525.1111,0,false,0.0386
47,AdjacencyList,10,4,0.2500,0.0889,2001977423,V9,91,1803,901.3750,1,false,0.0193
48,AdjacencyList,10,5,0.2500,0.1111,362071088,V9,143,2014,868.5000,1,false,0.0216
49,AdjacencyList,10,6,0.2500,0.1333,3017124949,V9,70,1271,759.3750,1,false,0.0236
50,AdjacencyList,10,3,0.2500,0.0667,1377217114,V9,322,1008,722.0000,4,false,0.0157
51,AdjacencyList,10,3,0.2500,0.0667,4032280775,V9,4,1433,790.6667,3,false,0.0147
52,AdjacencyList,10,5,0.2500,0.1111,2392355240,V9,739,2467,1489.6667,0,false,0.0205
53,AdjacencyList,10,6,0.2500,0.1333,752707905,V9,139,1295,626.7778,0,false,0.0213
54,AdjacencyList,10,8,0.2500,0.1778,3408037266,V9,112,1068,632.6667,0,false,0.0332
55,AdjacencyList,10,5,0.2500,0.1111,1768276531,V9,157,2120,1107.0000,1,false,0.0211
