Run,GraphType,Vertices,Edges,RequestedDensity,ActualDensity,Seed,SourceVertex,MinDist,MaxDist,AvgDist,UnreachableVertices,NegativeCycle,TimeMs
1,AdjacencyMatrix,10,7,0.2500,0.1556,2559172045,V9,676,676,676.0000,8,false,0.0138
2,AdjacencyMatrix,10,5,0.2500,0.1111,919314110,V9,N/A,N/A,N/A,9,false,0.0105
3,AdjacencyMatrix,10,14,0.2500,0.3111,3574430871,V9,395,1085,784.8889,0,false,0.0277
4,AdjacencyMatrix,10,12,0.2500,0.2667,1934556036,V9,153,2147,899.8889,0,false,0.0250
5,AdjacencyMatrix,10,11,0.2500,0.2444,294691801,V9,445,1958,1295.0000,1,false,0.0239
6,AdjacencyMatrix,10,12,0.2500,0.2667,2949782462,V9,252,1983,954.1111,0,false,0.0227
7,AdjacencyMatrix,10,16,0.2500,0.3556,1309903327,V9,81,855,508.5556,0,false,0.0316
8,AdjacencyMatrix,10,10,0.2500,0.2222,3965005688,V9,N/A,N/A,N/A,9,false,0.0118
9,AdjacencyMatrix,10,10,0.2500,0.2222,2325246453,V9,517,2528,1144.3750,1,false,0.0221
10,AdjacencyMatrix,10,14,0.2500,0.3111,685632818,V9,728,1281,992.2500,1,false,0.0424
11,AdjacencyMatrix,10,14,0.2500,0.3111,3340919079,V9,601,1258,919.1250,1,false,0.0290
12,AdjacencyMatrix,10,8,0.2500,0.1778,1701176544,V9,944,2419,1898.2500,5,false,0.0168
13,AdjacencyMatrix,10,6,0.2500,0.1333,61402009,V9,665,1984,1295.2000,4,false,0.0172
14,AdjacencyMatrix,10,9,0.2500,0.2000,2716546670,V9,5,828,487.8333,3,false,0.0176
15,AdjacencyMatrix,10,13,0.2500,0.2889,1076690535,V9,340,1234,821.3333,0,false,0.0246
16,AdjacencyMatrix,10,8,0.2500,0.1778,3731782696,V9,40,1885,871.6000,4,false,0.0155
17,AdjacencyMatrix,10,9,0.2500,0.2000,2091896361,V9,830,2669,1793.6250,1,false,0.0189
18,AdjacencyMatrix,10,16,0.2500,0.3556,452099026,V9,384,1720,1054.5556,0,false,0.0381
19,AdjacencyMatrix,10,6,0.2500,0.1333,3107301587,V9,749,1563,1082.3333,6,false,0.0150
20,AdjacencyMatrix,10,9,0.2500,0.2000,1467525452,V9,497,1530,991.3333,3,false,0.0203
21,AdjacencyMatrix,10,13,0.2500,0.2889,4122689813,V9,387,1815,757.7778,0,false,0.0247
22,AdjacencyMatrix,10,15,0.2500,0.3333,2482809978,V9,96,902,443.6250,1,false,0.0266
23,AdjacencyMatrix,10,14,0.2500,0.3111,842946843,V9,431,1620,875.2222,0,false,0.0267
24,AdjacencyMatrix,10,13,0.2500,0.2889,3498100504,V9,282,1795,1061.2222,0,false,0.0243
25,AdjacencyMatrix,10,16,0.2500,0.3556,1858233669,V9,370,1553,879.6667,0,false,0.0327
26,AdjacencyMatrix,10,11,0.2500,0.2444,218373234,V9,221,1799,832.6667,0,false,0.0217
27,AdjacencyMatrix,10,12,0.2500,0.2667,2873460095,V9,134,999,491.0000,3,false,0.0189
28,AdjacencyMatrix,10,9,0.2500,0.2000,1233663160,V9,67,1965,1030.2857,2,false,0.0232
29,AdjacencyMatrix,10,12,0.2500,0.2667,3888793121,V9,67,1517,740.6667,0,false,0.0245
30,AdjacencyMatrix,10,10,0.2500,0.2222,2249072886,V9,661,1732,1015.0000,5,false,0.0178
31,AdjacencyMatrix,10,12,0.2500,0.2667,609212251,V9,168,1203,748.8750,1,false,0.0206
