Run,GraphType,Vertices,Edges,RequestedDensity,ActualDensity,Seed,SourceVertex,MinDist,MaxDist,AvgDist,UnreachableVertices,NegativeCycle,TimeMs
1,AdjacencyMatrix,10,12,0.2500,0.2667,654731637,V9,45,1559,661.8889,0,false,0.0269
2,AdjacencyMatrix,10,16,0.2500,0.3556,3309869398,V9,568,1632,1102.6667,0,false,0.0337
3,AdjacencyMatrix,10,15,0.2500,0.3333,1670008363,V9,332,2180,1006.2222,0,false,0.0332
4,AdjacencyMatrix,10,17,0.2500,0.3778,30139628,V9,100,1272,624.4444,0,false,0.0416
5,AdjacencyMatrix,10,10,0.2500,0.2222,2685283389,V9,254,2673,1346.6667,0,false,0.0264
6,AdjacencyMatrix,10,16,0.2500,0.3556,1045413154,V9,465,2051,1286.6667,0,false,0.0390
7,AdjacencyMatrix,10,9,0.2500,0.2000,3700716215,V9,18,687,375.2500,5,false,0.0214
8,AdjacencyMatrix,10,10,0.2500,0.2222,2060999280,V9,91,2164,1026.2500,1,false,0.0288
9,AdjacencyMatrix,10,12,0.2500,0.2667,421269645,V9,619,1614,1100.2222,0,false,0.0305
10,AdjacencyMatrix,10,9,0.2500,0.2000,3076412406,V9,75,1400,608.7143,2,false,0.0257
11,AdjacencyMatrix,10,13,0.2500,0.2889,1436540571,V9,377,1140,760.0000,2,false,0.0265
12,AdjacencyMatrix,10,10,0.2500,0.2222,4091653732,V9,N/A,N/A,N/A,9,false,0.0154
13,AdjacencyMatrix,10,12,0.2500,0.2667,2451755997,V9,397,3048,1231.0000,0,false,0.0317
14,AdjacencyMatrix,10,14,0.2500,0.3111,811900262,V9,109,766,415.3750,1,false,0.0311
15,AdjacencyMatrix,10,6,0.2500,0.1333,3466995923,V9,136,136,136.0000,8,false,0.0154
16,AdjacencyMatrix,10,5,0.2500,0.1111,1827108388,V9,802,2197,1486.0000,6,false,0.0170
17,AdjacencyMatrix,10,16,0.2500,0.3556,187370353,V9,261,1166,581.0000,0,false,0.0330
18,AdjacencyMatrix,10,15,0.2500,0.3333,2842683214,V9,181,799,458.3750,1,false,0.0394
19,AdjacencyMatrix,10,9,0.2500,0.2000,1202978779,V9,121,2031,921.1250,1,false,0.0259
20,AdjacencyMatrix,10,11,0.2500,0.2444,3858068140,V9,16,1801,664.8889,0,false,0.0299
21,AdjacencyMatrix,10,13,0.2500,0.2889,2218218905,V9,159,1973,893.0000,0,false,0.0288
22,AdjacencyMatrix,10,12,0.2500,0.2667,578348670,V9,338,1688,1026.5000,1,false,0.0249
23,AdjacencyMatrix,10,9,0.2500,0.2000,3233434031,V9,N/A,N/A,N/A,9,false,0.0150
24,AdjacencyMatrix,10,9,0.2500,0.2000,1593543196,V9,38,1265,733.0000,2,false,0.0246
25,AdjacencyMatrix,10,14,0.2500,0.3111,4248628357,V9,196,2090,1223.6667,0,false,0.0316
26,AdjacencyMatrix,10,14,0.2500,0.3111,2608782122,V9,322,1083,553.7500,1,false,0.0280
27,AdjacencyMatrix,10,10,0.2500,0.2222,969097087,V9,142,1772,726.4444,0,false,0.0279
28,AdjacencyMatrix,10,10,0.2500,0.2222,3624326048,V9,643,1404,1109.0000,2,false,0.0258
29,AdjacencyMatrix,10,13,0.2500,0.2889,1984521813,V9,146,1652,582.1111,0,false,0.0301
30,AdjacencyMatrix,10,10,0.2500,0.2222,344765678,V9,526,1152,871.5000,3,false,0.0226
31,AdjacencyMatrix,10,11,0.2500,0.2444,2999877739,V9,32,2272,1299.2222,0,false,0.0287
32,AdjacencyMatrix,10,9,0.2500,0.2000,1360009104,V9,460,2771,1726.0000,1,false,0.0240
33,AdjacencyMatrix,10,12,0.2500,0.2667,4015116365,V9,375,1670,1042.3333,0,false,0.0351
34,AdjacencyMatrix,10,12,0.2500,0.2667,2375253330,V9,107,2540,934.2222,0,false,0.0278
35,AdjacencyMatrix,10,12,0.2500,0.2667,735374895,V9,179,1288,740.8750,1,false,0.0284
36,AdjacencyMatrix,10,12,0.2500,0.2667,3390661556,V9,206,2466,1682.2222,0,false,0.0326
37,AdjacencyMatrix,10,12,0.2500,0.2667,1751162521,V9,309,2378,1266.3333,0,false,0.0315
38,AdjacencyMatrix,10,6,0.2500,0.1333,111383986,V9,N/A,N/A,N/A,9,false,0.0142
39,AdjacencyMatrix,10,16,0.2500,0.3556,2766628247,V9,89,1091,662.5556,0,false,0.0339
40,AdjacencyMatrix,10,13,0.2500,0.2889,1126770012,V9,931,2259,1797.6250,1,false,0.0276
41,AdjacencyMatrix,10,8,0.2500,0.1778,3781900473,V9,690,2008,1314.0000,1,false,0.0212
42,AdjacencyMatrix,10,13,0.2500,0.2889,2142024338,V9,94,2095,1009.1111,0,false,0.0264
43,AdjacencyMatrix,10,18,0.2500,0.4000,502169903,V9,115,980,466.6667,0,false,0.0360
44,AdjacencyMatrix,10,11,0.2500,0.2444,3157267964,V9,10,1779,647.2857,2,false,0.0273
45,AdjacencyMatrix,10,7,0.2500,0.1556,1517451829,V9,30,1387,747.2000,4,false,0.0212
46,AdjacencyMatrix,10,10,0.2500,0.2222,4172583390,V9,428,1532,867.3750,1,false,0.0241
47,AdjacencyMatrix,10,11,0.2500,0.2444,2532749055,V9,N/A,N/A,N/A,9,false,0.0159
48,AdjacencyMatrix,10,6,0.2500,0.1333,893198420,V9,585,1214,960.7500,5,false,0.0237
49,AdjacencyMatrix,10,16,0.2500,0.3556,3548335581,V9,482,1286,918.6667,0,false,0.0335
50,AdjacencyMatrix,10,12,0.2500,0.2667,1908527046,V9,26,1696,766.5000,1,false,0.0286
51,AdjacencyMatrix,10,10,0.2500,0.2222,268725911,V9,80,1913,876.1429,2,false,0.0278
52,AdjacencyMatrix,10,10,0.2500,0.2222,2923974972,V9,81,1443,656.5000,1,false,0.0240
53,AdjacencyMatrix,10,14,0.2500,0.3111,1284181337,V9,170,1220,615.3333,0,false,0.0308
54,AdjacencyMatrix,10,14,0.2500,0.3111,3939417998,V9,248,1512,697.4444,0,false,0.0334
55,AdjacencyMatrix,10,17,0.2500,0.3778,2299799963,V9,52,810,435.4444,0,false,0.0343
56,AdjacencyMatrix,10,10,0.2500,0.2222,660225028,V9,284,1451,751.0000,0,false,0.0307
57,AdjacencyMatrix,10,9,0.2500,0.2000,3315375589,V9,217,1169,736.3333,3,false,0.0241
58,AdjacencyMatrix,10,11,0.2500,0.2444,1675583854,V9,373,2157,1109.3333,0,false,0.0248
59,AdjacencyMatrix,10,11,0.2500,0.2444,35792319,V9,326,1237,714.0000,1,false,0.0278
60,AdjacencyMatrix,10,12,0.2500,0.2667,2690947980,V9,177,2502,1329.6667,0,false,0.0302
61,AdjacencyMatrix,10,14,0.2500,0.3111,1051132745,V9,346,1991,1032.2222,0,false,0.0312
62,AdjacencyMatrix,10,12,0.2500,0.2667,3706312606,V9,82,1105,681.7500,1,false,0.0254
63,AdjacencyMatrix,10,8,0.2500,0.1778,2066709171,V9,146,1367,872.5000,3,false,0.0234
64,AdjacencyMatrix,10,13,0.2500,0.2889,426992936,V9,20,1505,671.6250,1,false,0.0302
65,AdjacencyMatrix,10,10,0.2500,0.2222,3082319697,V9,132,1472,821.5714,2,false,0.0295
66,AdjacencyMatrix,10,12,0.2500,0.2667,1442567762,V9,323,1740,1172.0000,0,false,0.0288
67,AdjacencyMatrix,10,11,0.2500,0.2444,4097695523,V9,515,2076,1068.2222,0,false,0.0275
68,AdjacencyMatrix,10,12,0.2500,0.2667,2457913688,V9,164,1578,855.7778,0,false,0.0270
69,AdjacencyMatrix,10,10,0.2500,0.2222,818226353,V9,128,2056,918.5000,1,false,0.0269
70,AdjacencyMatrix,10,12,0.2500,0.2667,3473425314,V9,176,1816,1032.6667,0,false,0.0318
71,AdjacencyMatrix,10,13,0.2500,0.2889,1833662179,V9,56,927,569.7500,1,false,0.0335
72,AdjacencyMatrix,10,14,0.2500,0.3111,194053944,V9,32,2255,1289.5556,0,false,0.0343
73,AdjacencyMatrix,10,15,0.2500,0.3333,2849349605,V9,43,1020,521.2500,1,false,0.0282
74,AdjacencyMatrix,10,11,0.2500,0.2444,1209648370,V9,79,79,79.0000,8,false,0.0175
75,AdjacencyMatrix,10,7,0.2500,0.1556,3864828731,V9,237,237,237.0000,8,false,0.0159
